OfferID,MerchantID
17415,362
17416,362
17417,362
17418,362
17463,362
17464,362
17465,362
17677,362
17678,362
17812,362
17813,362
17814,362
17905,362
17940,362
17941,362
18056,362
18113,362
18305,362
18306,362
18307,362
18400,362
18447,362
18471,362
18566,362
18644,362
18645,362
18646,362
18647,362
18671,362
18710,362
18711,362
18806,362
18807,362
18880,362
19008,362
19294,362
19295,362
19296,362
19297,362
19469,362
19554,362
19761,362
19762,362
19850,362
20056,362
20264,362
20437,362
20438,362
20580,362
20581,362
20700,362
20832,362
20833,362
20834,362
20998,362
20999,362
21525,362
21526,362
21527,362
21528,362
21529,362
21530,362
21531,362
22518,362
22519,362
22520,362
22521,362
22522,362
22523,362
22524,362
22525,362
22905,362
22906,362
22907,362
22908,362
22909,362
23064,362
23065,362
23066,362
23238,362
23239,362
24345,362
24346,362
24347,362
24348,362
24349,362
24350,362
24351,362
24352,362
24611,362
24612,362
24613,362
24614,362
24800,362
24801,362
24947,362
24948,362
24949,362
24950,362
24951,362
25110,362
25111,362
25112,362
25113,362
25114,362
26762,362
26763,362
26764,362
26765,362
26766,362
26767,362
26768,362
26769,362
26770,362
26771,362
26772,362
26773,362
27074,362
27075,362
27579,362
27580,362
28917,362
28918,362
28919,362
28920,362
29211,362
30043,362
30211,362
30212,362
30430,362
30431,362
30432,362
30581,362
30582,362
30583,362
30584,362
30888,362
30889,362
30890,362
30891,362
30892,362
30893,362
30894,362
30895,362
30896,362
30897,362
30898,362
30899,362
30900,362
30901,362
30902,362
30903,362
30904,362
30905,362
30906,362
30907,362
30908,362
30909,362
31152,362
31153,362
31154,362
31155,362
31156,362
31157,362
31288,362
31289,362
31290,362
31291,362
31292,362
31512,362
31513,362
31514,362
31515,362
31516,362
31517,362
31693,362
31694,362
31695,362
31696,362
31697,362
31698,362
31699,362
31809,362
31810,362
31861,362
31862,362
31863,362
31864,362
31865,362
32034,362
32035,362
32036,362
32037,362
32038,362
32039,362
32040,362
32114,362
32115,362
32116,362
32117,362
32118,362
32294,362
32295,362
32296,362
32387,362
32488,362
32489,362
32490,362
32491,362
32492,362
32655,362
32656,362
32657,362
32658,362
32659,362
32660,362
32661,362
32818,362
32819,362
32820,362
32821,362
32822,362
32823,362
32944,362
32945,362
32946,362
32947,362
32948,362
32949,362
33208,362
33209,362
33210,362
33211,362
33212,362
33213,362
33214,362
33215,362
33418,362
33419,362
33420,362
33421,362
33422,362
