ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
2767,Oriental Fusion,"Plot No. 587, CST No. 1221/C,  Apte road, Shivaji Nagar",,Shivajinagar,Pune,,18.5176795,73.84253,Maharashtra,12:30 PM to 11:30 PM,,1,1,1,1,1,1,1,2667,06-01-2015
2768,Poolside Grill,"Hotel Sagar Plaza, 1, Near New  Zilla Parishad Building, Bund Garden Road",,Bund Garden Road,Pune,,18.5311178,73.8791718,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2668,06-01-2015
2769,Regalia Restro & Lounge,"Sai Enterprises Building , Baner Road, Anudh, Baner",,Baner,Pune,,18.5596581,73.7799374,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2669,06-01-2015
2770,Red Bar,"2nd Floor, Koregaon Plaza Mall, 37/4, North Main Road, Koregaon Park",,Mundhwa,Pune,,18.5390075,73.9077934,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2670,06-01-2015
2771,Rainforest,"Phoenix Market City, Nagar Road, Viman Nagar",,Viman Nagar,Pune,,18.5599011,73.9153176,Maharashtra,12:00 Noon to 11:00 PM,,1,1,1,1,1,1,1,2671,06-01-2015
2772,Leather Lounge,"Amba Complex, MG Road",,Camp,Pune,,18.5162131,73.8784836,Maharashtra,11:00 AM to 12:00 Midnight,,1,1,1,1,1,1,1,2672,06-01-2015
2773,Lakeside Inn,"MTDC, Karla Holiday Resort, Old - Highway, Lonavala Outskirts",,Lonavala,Pune,,18.5204303,73.8567437,Maharashtra,07:00 AM to 11:00 PM,,1,1,1,1,1,1,1,2673,06-01-2015
2774,Prems Restaurant,"28/2, Lane No 3 North Main Road, Koregaon Park",,Koregaon Park,Pune,,18.53877,73.8982411,Maharashtra,08:00 AM  to 11:00 PM,,1,1,1,1,1,1,1,2674,06-01-2015
2775,Kue Bar,"The Westin, 36/3B, Mundhwa Road, Koregaon Park Annexe",,Mundhwa,Pune,,18.5329794,73.9340369,Maharashtra,"09:00 PM to 02:45 AM, Wednesday, Friday - Sunday",,1,1,1,1,1,1,1,2675,06-01-2015
2776,Kiva Brew Pub,"Lane No 6, Koregaon Park",,Koregaon Park,Pune,,18.5365821,73.898624,Maharashtra,12:00 Noon  to 11:30 PM,,1,1,1,1,1,1,1,2676,06-01-2015
2777,Ritz Carlson,"Ganesh Heights, Rakshak Nagar, Kharadi",,Kharadi,Pune,,18.5511643,73.9430147,Maharashtra,12:00 Noon to 11:00 PM,,1,1,1,1,1,1,1,2677,06-01-2015
2778,Rock Salt Sky Bar,"V-12 Hospitality, Signet Corner, Baner Road",,Baner Road,Pune,,18.5549928,73.7970828,Maharashtra,06:30 PM  to 11:30 PM,,1,1,1,1,1,1,1,2678,06-01-2015
2779,Roof Top Bar,"Le Meridien, Raja Bahadur Mill Road, Sassoon Road",,Sangamvadi,Pune,,18.5308132,73.8755876,Maharashtra,11:30 AM to 11:30 PM,,1,1,1,1,1,1,1,2679,06-01-2015
